Type	POS	Headword	Rank	Freq	Range	NormFreq	NormRange
e			1	13721	2285	31805.749	0.880
de			2	13513	2324	31323.598	0.895
que			3	12394	2268	28729.717	0.873
a			4	12142	2301	28145.573	0.886
o			5	11980	2302	27770.051	0.886
eu			6	7966	1828	18465.461	0.704
me			7	5795	1649	13433.009	0.635
um			8	5726	1849	13273.064	0.712
não			9	5451	1715	12635.605	0.660
do			10	5351	1844	12403.802	0.710
é			11	5296	1696	12276.310	0.653
pra			12	5244	1860	12155.772	0.716
no			13	4779	1833	11077.886	0.706
se			14	4429	1672	10266.574	0.644
meu			15	4413	1566	10229.485	0.603
da			16	4170	1650	9666.203	0.635
na			17	4072	1656	9439.036	0.638
com			18	3068	1458	7111.729	0.561
uma			19	2387	1161	5533.148	0.447
em			20	2329	1181	5398.702	0.455
por			21	2325	1197	5389.430	0.461
minha			22	2078	1001	4816.875	0.385
te			23	1994	643	4622.160	0.248
mais			24	1949	999	4517.849	0.385
só			25	1855	956	4299.954	0.368
os			26	1779	980	4123.783	0.377
vou			27	1721	797	3989.337	0.307
sou			28	1709	665	3961.521	0.256
vai			29	1683	790	3901.252	0.304
quando			30	1680	1020	3894.298	0.393
mas			31	1657	868	3840.983	0.334
as			32	1651	925	3827.075	0.356
tem			33	1640	847	3801.576	0.326
amor			34	1495	674	3465.461	0.260
bem			35	1437	849	3331.015	0.327
já			36	1423	812	3298.563	0.313
lá			37	1307	717	3029.671	0.276
você			38	1223	390	2834.956	0.150
quem			39	1193	675	2765.415	0.260
sem			40	1146	638	2656.467	0.246
num			41	1144	716	2651.831	0.276
ela			42	1143	403	2649.513	0.155
nos			43	1029	674	2385.257	0.260
quero			44	1020	537	2364.395	0.207
vida			45	1014	620	2350.487	0.239
dos			46	981	610	2273.992	0.235
coração			47	966	636	2239.221	0.245
dia			48	933	642	2162.726	0.247
foi			49	915	527	2121.001	0.203
grande			50	897	500	2079.277	0.193
ao			51	865	581	2005.100	0.224
vem			52	852	476	1974.965	0.183
nem			53	828	524	1919.332	0.202
tudo			54	807	534	1870.654	0.206
rio			55	801	412	1856.745	0.159
até			56	792	557	1835.883	0.214
tu			57	778	317	1803.431	0.122
como			58	776	481	1798.795	0.185
para			58	776	515	1798.795	0.198
esta			60	764	465	1770.978	0.179
teu			60	764	385	1770.978	0.148
nas			62	746	485	1729.254	0.187
seu			63	733	441	1699.119	0.170
tá			64	727	284	1685.211	0.109
tenho			65	719	446	1666.667	0.172
pro			66	705	486	1634.214	0.187
mundo			67	696	480	1613.352	0.185
saudade			68	695	401	1611.034	0.154
noite			69	694	470	1608.716	0.181
das			70	689	475	1597.126	0.183
ser			71	677	474	1569.309	0.183
fui			72	662	396	1534.539	0.152
onde			73	661	449	1532.221	0.173
gaita			74	658	378	1525.267	0.146
muito			74	658	447	1525.267	0.172
faz			76	653	451	1513.676	0.174
sempre			77	650	478	1506.722	0.184
hoje			78	649	395	1504.404	0.152
mim			79	638	435	1478.906	0.168
meus			80	577	398	1337.506	0.153
este			81	574	404	1330.552	0.156
tô			82	567	212	1314.325	0.082
são			83	561	346	1300.417	0.133
pois			84	554	403	1284.191	0.155
sei			85	534	336	1237.830	0.129
gente			86	528	371	1223.922	0.143
tempo			87	519	351	1203.060	0.135
baile			88	517	264	1198.424	0.102
dá			89	514	312	1191.470	0.120
terra			90	512	307	1186.834	0.118
canto			91	504	305	1168.289	0.117
cavalo			92	500	311	1159.017	0.120
ver			93	497	323	1152.063	0.124
assim			94	487	354	1128.883	0.136
agora			95	482	299	1117.293	0.115
morena			96	471	220	1091.794	0.085
era			97	470	300	1089.476	0.116
mulher			98	464	264	1075.568	0.102
gaúcho			99	461	263	1068.614	0.101
também			100	457	323	1059.342	0.124
numa			101	456	344	1057.024	0.132
esse			102	454	273	1052.388	0.105
jeito			103	452	324	1047.752	0.125
deus			104	451	285	1045.433	0.110
essa			104	451	294	1045.433	0.113
gaiteiro			106	450	258	1043.115	0.099
chão			107	449	330	1040.797	0.127
fazer			107	449	324	1040.797	0.125
velho			109	440	310	1019.935	0.119
povo			110	437	273	1012.981	0.105
alma			111	433	292	1003.709	0.112
x			112	427	157	989.801	0.060
nunca			113	425	311	985.165	0.120
aqui			114	421	271	975.892	0.104
china			115	417	281	966.620	0.108
campo			116	416	314	964.302	0.121
cordeona			117	414	279	959.666	0.107
todo			118	413	313	957.348	0.121
isso			119	412	301	955.030	0.116
bom			120	410	267	950.394	0.103
dar			120	410	288	950.394	0.111
mesmo			120	410	305	950.394	0.117
peito			123	408	325	945.758	0.125
lhe			124	406	254	941.122	0.098
ou			125	402	276	931.850	0.106
depois			126	400	331	927.214	0.127
cantar			127	399	277	924.896	0.107
ele			127	399	244	924.896	0.094
estou			129	398	276	922.578	0.106
rancho			130	391	291	906.351	0.112
linda			131	386	239	894.761	0.092
dançar			132	382	223	885.489	0.086
pode			132	382	220	885.489	0.085
porque			132	382	274	885.489	0.106
hora			135	381	274	883.171	0.106
mão			136	379	274	878.535	0.106
quer			137	372	250	862.309	0.096
comigo			138	370	277	857.673	0.107
casa			139	368	245	853.037	0.094
nosso			139	368	213	853.037	0.082
tão			141	366	231	848.401	0.089
ninguém			142	356	249	825.220	0.096
ter			143	353	259	818.266	0.100
nada			144	352	275	815.948	0.106
fora			145	351	254	813.630	0.098
outro			146	350	255	811.312	0.098
meio			147	348	263	806.676	0.101
pelo			148	344	277	797.404	0.107
faço			149	339	247	785.814	0.095
pé			150	333	227	771.905	0.087
deu			151	332	222	769.587	0.085
viver			152	325	226	753.361	0.087
tanto			153	322	224	746.407	0.086
galpão			154	321	239	744.089	0.092
