Type	POS	Headword	Rank	Freq	Range	NormFreq	NormRange
que			1	280092	54724	32186.418	0.874
eu			2	244550	50186	28102.154	0.802
o			3	215938	51812	24814.242	0.828
de			4	207462	51918	23840.233	0.829
não			5	202664	46582	23288.877	0.744
e			6	192946	50424	22172.145	0.806
a			7	183538	49032	21091.037	0.783
você			8	150842	35652	17333.818	0.570
é			9	149410	41356	17169.261	0.661
me			10	146216	39812	16802.227	0.636
pra			11	124432	41332	14298.946	0.660
meu			12	100604	36018	11560.781	0.575
te			13	100306	27538	11526.537	0.440
se			14	93596	34606	10755.466	0.553
amor			15	88466	30686	10165.958	0.490
um			16	81906	32126	9412.124	0.513
do			17	75488	30014	8674.608	0.480
no			18	70894	29218	8146.694	0.467
vou			19	63858	22462	7338.161	0.359
na			20	63528	25896	7300.240	0.414
mais			21	60616	25922	6965.611	0.414
com			22	59800	27114	6871.841	0.433
vai			23	59374	20926	6822.888	0.334
só			24	59160	25980	6798.297	0.415
por			25	50194	23198	5767.980	0.371
em			26	49492	23776	5687.311	0.380
da			27	48066	21624	5523.444	0.345
quero			28	46768	18080	5374.286	0.289
seu			29	40990	19072	4710.314	0.305
minha			30	40776	19192	4685.722	0.307
tem			31	40470	17572	4650.559	0.281
uma			32	39250	19730	4510.364	0.315
mas			33	37182	18486	4272.722	0.295
coração			34	36680	19568	4215.036	0.313
sem			35	36598	16862	4205.613	0.269
mim			36	33558	16582	3856.275	0.265
sou			37	31856	12206	3660.692	0.195
já			38	31836	16650	3658.394	0.266
quando			39	31366	17214	3604.384	0.275
ela			40	30960	8842	3557.729	0.141
tudo			41	30454	15762	3499.583	0.252
tá			42	29752	9970	3418.913	0.159
vem			43	27508	11204	3161.047	0.179
quem			44	27468	12902	3156.450	0.206
foi			45	24820	12608	2852.159	0.201
sei			46	24562	12270	2822.511	0.196
gente			47	24488	11564	2814.008	0.185
como			48	23504	12420	2700.932	0.198
vida			49	22986	12844	2641.407	0.205
bem			50	22678	12546	2606.014	0.200
quer			51	22192	10364	2550.166	0.166
ser			52	22144	11418	2544.650	0.182
tô			53	21450	7724	2464.900	0.123
teu			54	21310	9508	2448.812	0.152
faz			55	20986	11144	2411.580	0.178
amar			56	20914	10124	2403.306	0.162
assim			57	20610	11442	2368.372	0.183
ver			58	20564	10826	2363.086	0.173
ai			59	19802	4842	2275.522	0.077
nem			60	19726	10792	2266.788	0.172
agora			61	19610	10252	2253.458	0.164
dia			62	18558	10938	2132.569	0.175
fazer			63	17304	9954	1988.467	0.159
todo			64	17246	9950	1981.802	0.159
esse			65	17154	9552	1971.230	0.153
sua			66	16904	9372	1942.502	0.150
as			67	16804	9932	1931.010	0.159
para			68	16510	9138	1897.226	0.146
mulher			69	16358	6988	1879.759	0.112
sempre			70	16180	8926	1859.304	0.143
dá			71	16124	7822	1852.869	0.125
ele			72	16074	5912	1847.123	0.094
os			73	15990	9512	1837.471	0.152
mundo			74	15956	9172	1833.564	0.147
lá			75	15786	7534	1814.028	0.120
aqui			76	15644	8608	1797.710	0.138
tão			77	15622	9356	1795.182	0.149
essa			78	15424	8934	1772.429	0.143
ter			79	14934	8714	1716.122	0.139
estou			80	14748	8252	1694.748	0.132
pode			81	14710	7684	1690.381	0.123
ficar			82	13996	7842	1608.333	0.125
x			83	13932	6590	1600.978	0.105
tempo			84	13740	8004	1578.915	0.128
bom			85	13688	6144	1572.939	0.098
nunca			86	13634	7568	1566.734	0.121
até			87	13422	8332	1542.372	0.133
amo			88	13360	5436	1535.247	0.087
hoje			89	13142	6848	1510.196	0.109
porque			90	13136	7532	1509.507	0.120
noite			91	12908	7678	1483.306	0.123
nada			92	12654	7096	1454.118	0.113
jeito			93	12538	7128	1440.788	0.114
muito			94	12494	7844	1435.732	0.125
viver			95	12186	7174	1400.339	0.115
isso			96	11728	6906	1347.708	0.110
saudade			97	11618	6574	1335.068	0.105
dar			98	11502	6672	1321.738	0.107
ao			99	11486	7388	1319.899	0.118
ninguém			100	11416	6568	1311.855	0.105
nosso			101	11402	6498	1310.246	0.104
dizer			102	11340	6576	1303.122	0.105
era			103	11230	5816	1290.481	0.093
tenho			104	11186	6804	1285.425	0.109
vez			105	11074	6168	1272.555	0.099
forró			106	10860	4412	1247.963	0.070
comigo			107	10840	6222	1245.665	0.099
pro			108	10660	6154	1224.980	0.098
está			109	10636	6156	1222.222	0.098
ou			110	10626	5368	1221.073	0.086
paixão			111	10246	6572	1177.406	0.105
diz			112	10176	5648	1169.362	0.090
